"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",,"Distance to Parks"
"06","California","06001409000","Alameda County, CA - 06001409000","2020","62.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001409100","Alameda County, CA - 06001409100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001409200","Alameda County, CA - 06001409200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001409300","Alameda County, CA - 06001409300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001409400","Alameda County, CA - 06001409400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001409500","Alameda County, CA - 06001409500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001409600","Alameda County, CA - 06001409600","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001409700","Alameda County, CA - 06001409700","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001409800","Alameda County, CA - 06001409800","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001409900","Alameda County, CA - 06001409900","2020","99.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001410000","Alameda County, CA - 06001410000","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001410100","Alameda County, CA - 06001410100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001410200","Alameda County, CA - 06001410200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001410300","Alameda County, CA - 06001410300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001410400","Alameda County, CA - 06001410400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001410500","Alameda County, CA - 06001410500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001420100","Alameda County, CA - 06001420100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001420200","Alameda County, CA - 06001420200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001420301","Alameda County, CA - 06001420301","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001420302","Alameda County, CA - 06001420302","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001420401","Alameda County, CA - 06001420401","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001420402","Alameda County, CA - 06001420402","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001420500","Alameda County, CA - 06001420500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001420600","Alameda County, CA - 06001420600","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001421100","Alameda County, CA - 06001421100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001421200","Alameda County, CA - 06001421200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001421300","Alameda County, CA - 06001421300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001421400","Alameda County, CA - 06001421400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001421500","Alameda County, CA - 06001421500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001421600","Alameda County, CA - 06001421600","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001421700","Alameda County, CA - 06001421700","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001421800","Alameda County, CA - 06001421800","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001421900","Alameda County, CA - 06001421900","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001422000","Alameda County, CA - 06001422000","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001422100","Alameda County, CA - 06001422100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001422200","Alameda County, CA - 06001422200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001422300","Alameda County, CA - 06001422300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001422400","Alameda County, CA - 06001422400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001422500","Alameda County, CA - 06001422500","2020","73.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001422700","Alameda County, CA - 06001422700","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001422800","Alameda County, CA - 06001422800","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001422901","Alameda County, CA - 06001422901","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001422902","Alameda County, CA - 06001422902","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423000","Alameda County, CA - 06001423000","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423100","Alameda County, CA - 06001423100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423200","Alameda County, CA - 06001423200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423300","Alameda County, CA - 06001423300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423400","Alameda County, CA - 06001423400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423500","Alameda County, CA - 06001423500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423601","Alameda County, CA - 06001423601","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423602","Alameda County, CA - 06001423602","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423700","Alameda County, CA - 06001423700","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423800","Alameda County, CA - 06001423800","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423901","Alameda County, CA - 06001423901","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001423902","Alameda County, CA - 06001423902","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001424001","Alameda County, CA - 06001424001","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001424002","Alameda County, CA - 06001424002","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001425101","Alameda County, CA - 06001425101","2020","88.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001425102","Alameda County, CA - 06001425102","2020","89.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001425103","Alameda County, CA - 06001425103","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001425104","Alameda County, CA - 06001425104","2020","97.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001426100","Alameda County, CA - 06001426100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001426200","Alameda County, CA - 06001426200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001427100","Alameda County, CA - 06001427100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001427200","Alameda County, CA - 06001427200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001427300","Alameda County, CA - 06001427300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001427600","Alameda County, CA - 06001427600","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001427700","Alameda County, CA - 06001427700","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001427800","Alameda County, CA - 06001427800","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001427900","Alameda County, CA - 06001427900","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001428000","Alameda County, CA - 06001428000","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001428100","Alameda County, CA - 06001428100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001428200","Alameda County, CA - 06001428200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001428301","Alameda County, CA - 06001428301","2020","96.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001428302","Alameda County, CA - 06001428302","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001428400","Alameda County, CA - 06001428400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001428500","Alameda County, CA - 06001428500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001428600","Alameda County, CA - 06001428600","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001428700","Alameda County, CA - 06001428700","2020","71.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001430101","Alameda County, CA - 06001430101","2020","25.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001430102","Alameda County, CA - 06001430102","2020","52.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001430200","Alameda County, CA - 06001430200","2020","91.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001430300","Alameda County, CA - 06001430300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001430400","Alameda County, CA - 06001430400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001430500","Alameda County, CA - 06001430500","2020","94.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001430600","Alameda County, CA - 06001430600","2020","86.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001430700","Alameda County, CA - 06001430700","2020","83.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001430800","Alameda County, CA - 06001430800","2020","88.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001430900","Alameda County, CA - 06001430900","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001431000","Alameda County, CA - 06001431000","2020","94.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001431100","Alameda County, CA - 06001431100","2020","95.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001431200","Alameda County, CA - 06001431200","2020","89.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001432100","Alameda County, CA - 06001432100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001432200","Alameda County, CA - 06001432200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001432300","Alameda County, CA - 06001432300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001432400","Alameda County, CA - 06001432400","2020","89.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001432501","Alameda County, CA - 06001432501","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001432502","Alameda County, CA - 06001432502","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
